Title,Platform,Publisher,Genre,Points,First,Second,Third,Fourth,Fifth,Sixth,Seventh,Eighth,Ninth,Tenth,Runner Up
pangya mobile,mob,line corporation,sports,0,0,0,0,0,0,0,0,0,0,0,0
paratopic,pc,arbitrary metric,horror,0,0,0,0,0,0,0,0,0,0,0,0
parkitect,pc,texel raptor,simulation,0,0,0,0,0,0,0,0,0,0,0,0
part time ufo,mob,hal labratory,prcb,0,0,0,0,0,0,0,0,0,0,0,0
path of exile betrayal,pc,grinding gear games,rpg,0,0,0,0,0,0,0,0,0,0,0,0
pathfinder kingmaker,pc,owlcast games,rpg,0,0,0,0,0,0,0,0,0,0,0,0
persona 3 dancing moon night,ps4 vita,atlus,prcb,0,0,0,0,0,0,0,0,0,0,0,0
persona 4 dancing all night,ps4,atlus,prcb remake,0,0,0,0,0,0,0,0,0,0,0,0
persona 5 dancing in starlight,ps4 vita,atlus,prcb,0,0,0,0,0,0,0,0,0,0,0,0
pes 2019,pc ps4 xbo,konami,sports,0,0,0,0,0,0,0,0,0,0,0,0
phantasy star,nsw,sega,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
picross s2,nsw,jupiter,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
pig eat ball,pc ps4,mommys best games,action,0,0,0,0,0,0,0,0,0,0,0,0
pillars of eternity ii deadfire,pc,obsidian,rpg,0,0,0,0,0,0,0,0,0,0,0,0
pit people,pc xbo,the behemoth,strategy,0,0,0,0,0,0,0,0,0,0,0,0
pixel puzzle collection,mob,konami,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
playerunknowns battlegrounds,ps4 xbo,bluehole,shooter remake,0,0,0,0,0,0,0,0,0,0,0,0
playerunknowns battlegrounds mobile,mob,tencent,shooter,0,0,0,0,0,0,0,0,0,0,0,0
pocket city,mob,bobby li,simulation,0,0,0,0,0,0,0,0,0,0,0,0
pocket run pool,mob,zach gage,sports,0,0,0,0,0,0,0,0,0,0,0,0
pokemon lets go pikachu and eevee,nsw,nintendo,rpg,0,0,0,0,0,0,0,0,0,0,0,0
prey mooncrash,pc ps4 xbo,bethesda,shooter,0,0,0,0,0,0,0,0,0,0,0,0
pripara all idol perfect stage,nsw,takara tomy,prcb,0,0,0,0,0,0,0,0,0,0,0,0
project hospital,pc,oxymoron games,simulation,0,0,0,0,0,0,0,0,0,0,0,0
project warlock,pc,buckshot software,shooter,0,0,0,0,0,0,0,0,0,0,0,0
psyvariar delta,ps4 nsw,success,action remake,0,0,0,0,0,0,0,0,0,0,0,0
puyo puyo tetris,pc,sega,puzzle remake,0,0,0,0,0,0,0,0,0,0,0,0
quarantine circular,pc nsw,bithell games,adventure,0,0,0,0,0,0,0,0,0,0,0,0
qube 2,pc,trapped nerve games,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
radiant historia perfect chronology,3ds,atlus,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
radiant one,pc xbo mob,fntastic,adventure,0,0,0,0,0,0,0,0,0,0,0,0
railway empire,pc ps4 xbo,kalypso,simulation,0,0,0,0,0,0,0,0,0,0,0,0
red dead redemption 2,ps4 xbo,take two,action adventure,0,0,0,0,0,0,0,0,0,0,0,0
reed ^_^,pc xbo mob,crescent moon games,action,0,0,0,0,0,0,0,0,0,0,0,0
reigns game of thrones,pc mob,devolver digital,adventure,0,0,0,0,0,0,0,0,0,0,0,0
resident evil 7,nq,nq,nq,0,0,0,0,0,0,0,0,0,0,0,0
resonance of fate remastered,pc ps4,triace,rpg remake,0,0,0,0,0,0,0,0,0,0,0,0
return of the obra dinn,pc,3909,puzzle,0,0,0,0,0,0,0,0,0,0,0,0
rimworld,pc,ludeon studios,simulation,0,0,0,0,0,0,0,0,0,0,0,0
rogue aces,ps4 vita nsw,curve digital,action,0,0,0,0,0,0,0,0,0,0,0,0
roof rage,nq,nq,nq,0,0,0,0,0,0,0,0,0,0,0,0
rush,pc ps4,the binary mill,vr racing,0,0,0,0,0,0,0,0,0,0,0,0
rym 9000,pc,sonoshee,action,0,0,0,0,0,0,0,0,0,0,0,0
